record_id,date,year,month,city,state,country,latitude,longitude,temperature,humidity,rainfall,wind_speed,pressure,weather_condition,disaster_type,disaster_risk_level,river_level,soil_moisture,alert_status,response_action
REC_1000,2024-11-03,2024,11,Rio de Janeiro,Rio de Janeiro,Brazil,-22.9068,-43.1729,8.2,11,171.4,49.3,987,Fog,None,Low,5.2,92,Normal,No Action
REC_1001,2023-04-19,2023,4,Rio de Janeiro,Rio de Janeiro,Brazil,-22.9068,-43.1729,44.2,63,189.4,0.0,1037,Clear,Heatwave,Critical,3.7,39,Emergency,Evacuation Support
REC_1002,2024-05-10,2024,5,Los Angeles,California,USA,34.0522,-118.2437,-2.4,15,10.5,29.2,1028,Thunderstorm,Storm,Critical,2.8,42,Emergency,Evacuation Support
REC_1003,2024-10-29,2024,10,Singapore,Singapore,Singapore,1.3521,103.8198,4.3,55,127.9,17.3,975,Thunderstorm,Landslide,High,6.3,71,Warning,Alert Public
REC_1004,2024-05-01,2024,5,Cape Town,Western Cape,South Africa,-33.9249,18.4241,15.6,21,19.8,7.7,1041,Cloudy,None,Low,5.5,80,Normal,No Action
REC_1005,2024-08-12,2024,8,Cape Town,Western Cape,South Africa,-33.9249,18.4241,29.8,49,105.9,40.8,961,Fog,Landslide,Medium,7.0,76,Watch,Monitor
REC_1006,2024-08-25,2024,8,New York,New York,USA,40.7128,-74.006,-4.0,85,14.7,97.5,967,Rain,Storm,Medium,0.6,40,Watch,Monitor
REC_1007,2024-03-12,2024,3,Rio de Janeiro,Rio de Janeiro,Brazil,-22.9068,-43.1729,24.5,20,191.7,3.0,1045,Fog,Landslide,High,1.5,71,Warning,Alert Public
REC_1008,2024-09-28,2024,9,Cairo,Cairo,Egypt,30.0444,31.2357,-6.8,34,170.4,48.5,968,Thunderstorm,Flood,Medium,8.6,50,Watch,Monitor
REC_1009,2024-07-17,2024,7,Cairo,Cairo,Egypt,30.0444,31.2357,20.4,56,142.9,10.6,1012,Clear,Heatwave,Medium,7.6,90,Watch,Monitor
REC_1010,2023-09-23,2023,9,Cairo,Cairo,Egypt,30.0444,31.2357,6.8,77,164.4,116.7,1044,Rain,Storm,Medium,8.0,11,Watch,Monitor
REC_1011,2024-01-18,2024,1,Paris,Ile-de-France,France,48.8566,2.3522,6.1,38,110.5,74.4,1019,Cloudy,Landslide,Critical,2.6,58,Emergency,Evacuation Support
REC_1012,2024-05-12,2024,5,Singapore,Singapore,Singapore,1.3521,103.8198,1.1,95,76.3,46.5,999,Fog,Landslide,Critical,8.4,49,Emergency,Evacuation Support
REC_1013,2023-02-16,2023,2,Cairo,Cairo,Egypt,30.0444,31.2357,14.7,89,70.5,62.3,1050,Fog,None,Low,2.4,45,Normal,No Action
REC_1014,2023-03-12,2023,3,Moscow,Moscow,Russia,55.7558,37.6173,5.3,67,139.8,94.8,983,Rain,Storm,Medium,5.8,7,Watch,Monitor
REC_1015,2024-05-06,2024,5,Cairo,Cairo,Egypt,30.0444,31.2357,34.2,81,45.3,39.5,1011,Clear,None,Low,3.7,40,Normal,No Action
REC_1016,2024-02-07,2024,2,Mumbai,Maharashtra,India,19.076,72.8777,42.6,90,37.8,86.5,958,Clear,Heatwave,Critical,3.5,65,Emergency,Evacuation Support
REC_1017,2024-10-01,2024,10,Cape Town,Western Cape,South Africa,-33.9249,18.4241,22.1,97,181.7,66.1,1009,Fog,None,Low,4.8,24,Normal,No Action
REC_1018,2023-05-29,2023,5,New York,New York,USA,40.7128,-74.006,3.5,54,32.6,68.2,979,Snow,None,Low,3.3,85,Normal,No Action
REC_1019,2023-06-17,2023,6,Cairo,Cairo,Egypt,30.0444,31.2357,42.5,16,79.5,78.8,952,Rain,None,Low,7.5,19,Normal,No Action
REC_1020,2024-04-15,2024,4,Los Angeles,California,USA,34.0522,-118.2437,24.9,73,93.4,83.5,963,Thunderstorm,Storm,Critical,7.1,30,Emergency,Evacuation Support
REC_1021,2024-01-07,2024,1,Moscow,Moscow,Russia,55.7558,37.6173,23.3,95,24.7,93.9,1044,Rain,Storm,Critical,7.7,42,Emergency,Evacuation Support
REC_1022,2023-01-25,2023,1,Cairo,Cairo,Egypt,30.0444,31.2357,28.6,80,99.2,84.9,1036,Rain,Cyclone,High,0.7,48,Warning,Alert Public
REC_1023,2024-05-31,2024,5,London,England,UK,51.5074,-0.1278,33.6,54,135.1,102.3,1005,Thunderstorm,Flood,Medium,9.2,18,Watch,Monitor
REC_1024,2023-05-11,2023,5,Toronto,Ontario,Canada,43.651,-79.347,40.2,68,61.7,20.5,993,Clear,Heatwave,Medium,7.5,84,Watch,Monitor
REC_1025,2024-05-25,2024,5,Moscow,Moscow,Russia,55.7558,37.6173,5.3,86,147.5,7.8,955,Thunderstorm,Landslide,High,3.9,24,Warning,Alert Public
REC_1026,2024-11-18,2024,11,London,England,UK,51.5074,-0.1278,34.1,63,33.0,3.1,987,Rain,None,Low,9.2,67,Normal,No Action
REC_1027,2023-08-23,2023,8,Tokyo,Tokyo,Japan,35.6762,139.6503,20.3,68,52.2,90.0,1006,Rain,Storm,Medium,7.7,63,Watch,Monitor
REC_1028,2024-05-18,2024,5,Cape Town,Western Cape,South Africa,-33.9249,18.4241,29.4,81,99.5,34.9,1003,Cloudy,None,Low,7.8,37,Normal,No Action
